Opcode,Mnemonic,Addressing,Cycle,Symbolic Code,W2,W1,W0
99,STA,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
99,STA,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
99,STA,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
99,STA,"Abs,Y",3,ADH := DL,0038,0800,0000
99,STA,"Abs,Y",4,*{latch} + X := A; END,0028,3205,0012
9A,TXS,Impl,0,IR := *PC; PC += 1,0004,100A,0010
9A,TXS,Impl,1,SP := X; END,00A0,0000,0002
9D,STA,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
9D,STA,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
9D,STA,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
9D,STA,"Abs,X",3,ADH := DL,0038,0800,0000
9D,STA,"Abs,X",4,*{latch} + X := A; END,0028,3205,0012
A0,LDY,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
A0,LDY,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
A0,LDY,#Imm,2,PASS(DL); Y := ALU_RESULT; ALU_FLAGS_LD; END,F938,0000,0002
A1,LDA,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
A1,LDA,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
A1,LDA,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
A1,LDA,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
A1,LDA,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
A1,LDA,"(ZP,X)",5,"DL := *{latch}; PASS(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
A2,LDX,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
A2,LDX,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
A2,LDX,#Imm,2,PASS(DL); X := ALU_RESULT; ALU_FLAGS_LD; END,FA38,0000,0002
A3,LAX,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
A3,LAX,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
A3,LAX,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
A3,LAX,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
A3,LAX,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
A3,LAX,"(ZP,X)",5,DL := *{latch}; A := DL; X := DL; PASS(A); ALU_FLAGS_LD; END,F628,300A,0012
A4,LDY,ZP,0,IR := *PC; PC += 1,0004,100A,0010
A4,LDY,ZP,1,DL := *PC; PC += 1,0004,100A,0010
A4,LDY,ZP,2,ADL := DL,0038,0400,0000
A4,LDY,ZP,3,"DL := *{zeropage}; PASS(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,800A,0012
A5,LDA,ZP,0,IR := *PC; PC += 1,0004,100A,0010
A5,LDA,ZP,1,DL := *PC; PC += 1,0004,100A,0010
A5,LDA,ZP,2,ADL := DL,0038,0400,0000
A5,LDA,ZP,3,"DL := *{zeropage}; PASS(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
A6,LDX,ZP,0,IR := *PC; PC += 1,0004,100A,0010
A6,LDX,ZP,1,DL := *PC; PC += 1,0004,100A,0010
A6,LDX,ZP,2,ADL := DL,0038,0400,0000
A6,LDX,ZP,3,"DL := *{zeropage}; PASS(X, DL); X := ALU_RESULT; ALU_FLAGS_LD; END",FA38,800A,0012
A7,LAX,ZP,0,IR := *PC; PC += 1,0004,100A,0010
A7,LAX,ZP,1,DL := *PC; PC += 1,0004,100A,0010
A7,LAX,ZP,2,ADL := DL,0038,0400,0000
A7,LAX,ZP,3,DL := *{zeropage}; A := DL; X := DL; PASS(A); ALU_FLAGS_LD; END,F628,800A,0012
A8,TAY,Impl,0,IR := *PC; PC += 1,0004,100A,0010
A8,TAY,Impl,1,PASS(A); Y := ALU_RESULT; ALU_FLAGS_LD; END,F928,0000,0002
A9,LDA,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
A9,LDA,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
A9,LDA,#Imm,2,PASS(DL); A := ALU_RESULT; ALU_FLAGS_LD; END,FC38,0000,0002
AA,TAX,Impl,0,IR := *PC; PC += 1,0004,100A,0010
AA,TAX,Impl,1,PASS(A); X := ALU_RESULT; ALU_FLAGS_LD; END,FA28,0000,0002
AC,LDY,Abs,0,IR := *PC; PC += 1,0004,100A,0010
AC,LDY,Abs,1,DL := *PC; PC += 1,0004,100A,0010
AC,LDY,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
AC,LDY,Abs,3,ADH := DL,0038,0800,0000
AC,LDY,Abs,4,"DL := *{latch} + X; PASS(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,320A,0012
AD,LDA,Abs,0,IR := *PC; PC += 1,0004,100A,0010
AD,LDA,Abs,1,DL := *PC; PC += 1,0004,100A,0010
AD,LDA,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
AD,LDA,Abs,3,ADH := DL,0038,0800,0000
AD,LDA,Abs,4,"DL := *{latch} + X; PASS(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
AE,LDX,Abs,0,IR := *PC; PC += 1,0004,100A,0010
AE,LDX,Abs,1,DL := *PC; PC += 1,0004,100A,0010
AE,LDX,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
AE,LDX,Abs,3,ADH := DL,0038,0800,0000
AE,LDX,Abs,4,"DL := *{latch} + X; PASS(X, DL); X := ALU_RESULT; ALU_FLAGS_LD; END",FA38,320A,0012
AF,LAX,Abs,0,IR := *PC; PC += 1,0004,100A,0010
AF,LAX,Abs,1,DL := *PC; PC += 1,0004,100A,0010
AF,LAX,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
AF,LAX,Abs,3,ADH := DL,0038,0800,0000
AF,LAX,Abs,4,DL := *{latch}; A := DL; X := DL; PASS(A); ALU_FLAGS_LD; END,F628,300A,0012
B0,BCS,Rel,0,IR := *PC; PC += 1,0004,100A,0010
B0,BCS,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
B0,BCS,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
B1,LDA,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
B1,LDA,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
B1,LDA,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
B1,LDA,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
B1,LDA,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
B1,LDA,"(ZP),Y",5,"DL := *{latch} + Y; PASS(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
B3,LAX,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
B3,LAX,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
B3,LAX,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
B3,LAX,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
B3,LAX,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
B3,LAX,"(ZP),Y",5,DL := *{latch} + Y; A := DL; X := DL; PASS(A); ALU_FLAGS_LD; END,F628,310A,0012
B4,LDY,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
B4,LDY,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
B4,LDY,"ZP,X",2,ADL := DL,0038,0400,0000
B4,LDY,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
B4,LDY,"ZP,X",4,"DL := *{zeropage}; PASS(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,800A,0012
B5,LDA,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
B5,LDA,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
B5,LDA,"ZP,X",2,ADL := DL,0038,0400,0000
B5,LDA,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
B5,LDA,"ZP,X",4,"DL := *{zeropage}; PASS(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
B6,LDX,"ZP,Y",0,IR := *PC; PC += 1,0004,100A,0010
B6,LDX,"ZP,Y",1,DL := *PC; PC += 1,0004,100A,0010
B6,LDX,"ZP,Y",2,ADL := DL,0038,0400,0000
B6,LDX,"ZP,Y",3,DL := *{zeropage} + Y; ADL := DL,0038,850A,0010
B6,LDX,"ZP,Y",4,"DL := *{zeropage}; PASS(X, DL); X := ALU_RESULT; ALU_FLAGS_LD; END",FA38,800A,0012
B7,LAX,"ZP,Y",0,IR := *PC; PC += 1,0004,100A,0010
B7,LAX,"ZP,Y",1,DL := *PC; PC += 1,0004,100A,0010
B7,LAX,"ZP,Y",2,ADL := DL,0038,0400,0000
B7,LAX,"ZP,Y",3,DL := *{zeropage} + Y; ADL := DL,0038,850A,0010
B7,LAX,"ZP,Y",4,DL := *{zeropage}; DL := *{zeropage} + Y; A := DL; X := DL; PASS(A); ALU_FLAGS_LD; END,F628,810A,0012
B8,CLV,Impl,0,IR := *PC; PC += 1,0004,100A,0010
B8,CLV,Impl,1,CLRF(V); END,0000,0000,0102
B9,LDA,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
B9,LDA,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
B9,LDA,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
B9,LDA,"Abs,Y",3,ADH := DL,0038,0800,0000
B9,LDA,"Abs,Y",4,"DL := *{latch} + X; PASS(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
BA,TSX,Impl,0,IR := *PC; PC += 1,0004,100A,0010
BA,TSX,Impl,1,PASS(SP); X := ALU_RESULT; ALU_FLAGS_LD; END,FA10,0000,0002
BC,LDY,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
BC,LDY,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
BC,LDY,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
BC,LDY,"Abs,X",3,ADH := DL,0038,0800,0000
BC,LDY,"Abs,X",4,"DL := *{latch} + X; PASS(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,320A,0012
BD,LDA,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
BD,LDA,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
BD,LDA,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
BD,LDA,"Abs,X",3,ADH := DL,0038,0800,0000
BD,LDA,"Abs,X",4,"DL := *{latch} + X; PASS(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
BE,LDX,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
BE,LDX,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
BE,LDX,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
BE,LDX,"Abs,Y",3,ADH := DL,0038,0800,0000
BE,LDX,"Abs,Y",4,"DL := *{latch} + X; PASS(X, DL); X := ALU_RESULT; ALU_FLAGS_LD; END",FA38,320A,0012
BF,LAX,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
BF,LAX,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
BF,LAX,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
BF,LAX,"Abs,Y",3,ADH := DL,0038,0800,0000
BF,LAX,"Abs,Y",4,DL := *{latch} + Y; A := DL; X := DL; PASS(A); ALU_FLAGS_LD; END,F628,310A,0012
C0,CPY,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
C0,CPY,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
C0,CPY,#Imm,2,"CMP(Y, DL); ALU_FLAGS_LD; END",B838,0000,0002
C1,CMP,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
C1,CMP,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
C1,CMP,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
C1,CMP,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
C1,CMP,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
C1,CMP,"(ZP,X)",5,"DL := *{latch}; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
C3,DCP,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
C3,DCP,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
C3,DCP,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
C3,DCP,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
C3,DCP,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
C3,DCP,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
C3,DCP,"(ZP,X)",6,DEC(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
C3,DCP,"(ZP,X)",7,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
C4,CPY,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C4,CPY,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C4,CPY,ZP,2,ADL := DL,0038,0400,0000
C4,CPY,ZP,3,"DL := *{zeropage}; CMP(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,800A,0012
C5,CMP,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C5,CMP,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C5,CMP,ZP,2,ADL := DL,0038,0400,0000
C5,CMP,ZP,3,"DL := *{zeropage}; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
C6,DEC,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C6,DEC,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C6,DEC,ZP,2,ADL := DL,0038,0400,0000
C6,DEC,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
C6,DEC,ZP,4,DEC(TMP),6830,0000,0000
C6,DEC,ZP,5,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
C7,DCP,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C7,DCP,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C7,DCP,ZP,2,ADL := DL,0038,0400,0000
C7,DCP,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
C7,DCP,ZP,4,DEC(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
C7,DCP,ZP,5,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
C8,INY,Impl,0,IR := *PC; PC += 1,0004,100A,0010
C8,INY,Impl,1,INC(Y); Y := ALU_RESULT; ALU_FLAGS_LD; END,F918,0000,0002
C9,CMP,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
C9,CMP,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
C9,CMP,#Imm,2,"CMP(A, DL); ALU_FLAGS_LD; END",B838,0000,0002
CA,DEX,Impl,0,IR := *PC; PC += 1,0004,100A,0010
CA,DEX,Impl,1,DEC(X); X := ALU_RESULT; ALU_FLAGS_LD; END,FA20,0000,0002
CC,CPY,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CC,CPY,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CC,CPY,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CC,CPY,Abs,3,ADH := DL,0038,0800,0000
CC,CPY,Abs,4,"DL := *{latch} + X; CMP(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,320A,0012
CD,CMP,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CD,CMP,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CD,CMP,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CD,CMP,Abs,3,ADH := DL,0038,0800,0000
CD,CMP,Abs,4,"DL := *{latch} + X; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
CE,DEC,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CE,DEC,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CE,DEC,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CE,DEC,Abs,3,ADH := DL,0038,0800,0000
CE,DEC,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
CE,DEC,Abs,5,DEC(TMP),6830,0000,0000
CE,DEC,Abs,6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
CF,DCP,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CF,DCP,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CF,DCP,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CF,DCP,Abs,3,ADH := DL,0038,0800,0000
CF,DCP,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
CF,DCP,Abs,5,DEC(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
CF,DCP,Abs,6,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
D0,BNE,Rel,0,IR := *PC; PC += 1,0004,100A,0010
D0,BNE,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
D0,BNE,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
D1,CMP,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
D1,CMP,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
D1,CMP,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
